Day,Area,Price/Block,Band,Demand,Excess Demand,Provisional Price,Price Increment Applicable,Price,lat,long
4,Odisha,28.91,900,6,-25,27.8,0,139,26,94.2
4,Punjab,67.43,900,51,-27,66.77,0,333.85,30.8,75.5
4,Rajasthan,78.36,900,0,-62,74.63,0,373.15,27,74
4,Uttar Pradesh E,88.14,900,25,-6,88.14,0,440.7,26,82
4,Uttar Pradesh W,105,900,25,-6,105,0,525,28,80
4,West Bengal,25.45,900,22,0,25.45,0.25,127.25,23,87
4,Andhra Pradesh,48.56,1800,19,0,48.56,0.48,242.8,16,80
4,Bihar,12.4,1800,0,-10,0,0,0,25.11,85.32
4,Gujarat,47.6,1800,0,-17,0,0,0,23,72
4,Haryana,6.4,1800,27,-13,6.4,0,32,29.3,76
4,Himachal Pradesh,1.8,1800,22,-29,1.8,0,9,31.79,77.1
4,Karnataka,37,1800,8,-1,37,0,185,15,75
4,Kerala,15,1800,0,-5,0,0,0,10,76.25
4,Kolkata,15.48,1800,25,-10,15.03,0,75.15,22.56263,88.36304
4,North East,2.2,1800,25,-17,2.2,0,11,28,95
4,Odisha,4.6,1800,75,-6,4.6,0,23,26,94.2
4,Punjab,14.34,1800,0,-8,14.2,0,71,30.8,75.5
4,Rajasthan,12,1800,25,-27,12,0,60,27,74
4,Tamil Nadu,45,1800,75,-20,45,0,225,11,78
4,Uttar Pradesh E,19.4,1800,0,-21,0,0,0,26,82
4,Uttar Pradesh W,19,1800,0,-11,0,0,0,28,80
4,Andhra Pradesh,1375,2100,0,-1,0,0,0,16,80
4,Assam,171.49,2100,1,0,171.49,1.71,34.298,26.2006043,92.9375739
4,Delhi,3315,2100,0,-1,0,0,0,28.38,77.12
4,Gujarat,1302.9,2100,0,-1,1290,0,258,23,72
4,Haryana,232.3,2100,0,-1,230,0,46,29.3,76
4,Karnataka,1626.1,2100,0,-1,1610,0,322,15,75
4,Kerala,594.45,2100,0,-1,588.57,0,117.714,10,76.25
4,Kolkata,583.74,2100,0,-1,577.97,0,115.594,22.56263,88.36304
4,Madhya Pradesh,461.31,2100,0,-1,456.75,0,91.35,23.3,80
4,Maharashtra,1520.05,2100,0,-1,1505,0,301,20,76
4,Mumbai,3245,2100,0,-1,0,0,0,19.07283,72.88261
4,North East,51.15,2100,1,0,51.15,0.51,10.23,29,95
4,Odisha,182.06,2100,0,-1,180.26,0,36.052,26,94.2
4,Rajasthan,596.29,2100,1,0,596.29,5.96,119.258,27,74
4,Tamil Nadu,1737.2,2100,0,-1,1720,0,344,11,78
4,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,90.3,26,82
4,Uttar Pradesh W,520.15,2100,0,-1,515,0,103,28,80
5,Andhra Pradesh,366.25,800,12,7,366.25,25.63,293,16,80
5,Assam,36.05,800,12,1,36.05,0.36,28.84,26.2006043,92.9375739
5,Bihar,106.25,800,0,-4,0,0,0,25.11,85.32
5,Delhi,794.6,800,3,0,794.6,7.94,635.68,28.38,77.12
5,Gujarat,347.18,800,0,-2,343.75,0,275,23,72
5,Haryana,53.91,800,6,0,53.91,0.53,43.128,29.3,76
5,Himachal Pradesh,26.66,800,0,-7,24.46,0,19.568,31.79,77.1
5,Kashmir,36.05,800,2,-5,35.35,0,28.28,33.94,76.54
5,Karnataka,378.75,800,0,-1,0,0,0,15,75
5,Kolkata,183.75,800,0,-1,0,0,0,22.56263,88.36304
5,Madhya Pradesh,196.44,800,4,-1,196.44,0,157.152,23.3,80
5,Maharashtra,500.73,800,2,-1,500.73,0,400.584,20,76
5,Mumbai,747.46,800,0,-6,718.72,0,574.976,19.07283,72.88261
5,North East,14.15,800,12,1,14.15,0.14,11.32,28,95
5,Odisha,53.86,800,0,-6,51.3,0,41.04,26,94.2
5,Punjab,107.31,800,0,-3,106.25,0,85,30.8,75.5
5,Tamil Nadu,450,800,0,-1,0,0,0,11,78
5,Uttar Pradesh E,167.5,800,0,-3,0,0,0,26,82
5,Uttar Pradesh W,118.75,800,0,-1,0,0,0,28,80
5,West Bengal,71.96,800,0,-1,71.25,0,57,23,87
5,Andhra Pradesh,144.31,900,45,-25,136.15,0,680.75,16,80
5,Assam,22.29,900,6,-25,21.44,0,107.2,26.2006043,92.9375739
5,Bihar,81.36,900,25,-6,80.56,0,402.8,25.11,85.32
5,Gujarat,146.71,900,30,-40,134.6,0,673,23,72
5,Haryana,28.51,900,75,13,28.51,0.85,142.55,29.3,76
5,Himachal Pradesh,11.49,900,61,-1,11.49,0,57.45,31.79,77.1
5,Karnataka,122.65,900,44,-26,111.5,0,557.5,15,75
5,Kerala,74.61,900,30,-32,73.88,0,369.4,10,76.25
5,Madhya Pradesh,64.99,900,0,-62,61.9,0,309.5,23.3,80
5,Maharashtra,153.07,900,45,-25,151.56,0,757.8,20,76
5,North East,5.85,900,0,-44,5.8,0,29,28,95
5,Odisha,28.91,900,6,-25,27.8,0,139,26,94.2
5,Punjab,67.43,900,51,-27,66.77,0,333.85,30.8,75.5
5,Rajasthan,78.36,900,0,-62,74.63,0,373.15,27,74
5,Uttar Pradesh E,88.14,900,25,-6,88.14,0,440.7,26,82
5,Uttar Pradesh W,110.25,900,30,-1,110.25,0,551.25,28,80
5,West Bengal,27.24,900,22,0,27.24,0.27,136.2,23,87
5,Andhra Pradesh,49.04,1800,6,-13,48.56,0,242.8,16,80
5,Bihar,12.4,1800,0,-10,0,0,0,25.11,85.32
5,Gujarat,47.6,1800,0,-17,0,0,0,23,72
5,Haryana,6.4,1800,27,-13,6.4,0,32,29.3,76
5,Himachal Pradesh,1.8,1800,22,-29,1.8,0,9,31.79,77.1
5,Karnataka,37.37,1800,0,-9,37,0,185,15,75
5,Kerala,15,1800,0,-5,0,0,0,10,76.25
5,Kolkata,16.9,1800,59,24,16.9,0.84,84.5,22.56263,88.36304
5,North East,2.2,1800,25,-17,2.2,0,11,28,95
